borough,BBL,energy_star_core,EUI,emission_ton,emission_intensity_kg/ft2,square,standard,penalty
MANHATTAN,1005620040,24.0,124.4,363.7,9.3,39107.5,0.00675,26726.1
MANHATTAN,1008927501,54.0,108.5,406.4,8.1,50172.8,0.00675,18152.6
MANHATTAN,1014830038,5.0,152.1,1500.4,8.7,172459.8,0.00675,90127.4
MANHATTAN,1-01139-7503,1.0,117.7,5009.4,7.7,650571.4,0.00675,165635.5
MANHATTAN,1006187504,1.0,100.1,558.8,7.0,79828.6,0.00675,5348.5
MANHATTAN,1-02202-0009,28.0,95.0,587.4,7.0,83914.3,0.00675,5622.2
MANHATTAN,1-01425-0001,1.0,1638.1,25320.3,95.2,265969.5,0.00675,6304701.6
,4157800100,1.0,321.4,4351.2,17.5,248640.0,0.00675,716331.8
,4157800020,4.0,163.1,4581.2,9.0,509022.2,0.00675,306940.4
,4158100001,1.0,297.3,4272.2,16.1,265354.0,0.00675,664924.2
,4158150220,1.0,238.1,4419.0,13.0,339923.1,0.00675,569371.1
,4158100071,1.0,539.8,4163.9,29.0,143582.8,0.00675,856183.9
BRONX,2-03154-0040,23.0,119.9,455.5,8.9,51179.8,0.00675,29489.7
MANHATTAN,1-01379-7504,,129.4,587.9,9.4,62542.6,0.00675,44417.6
BRONX,2-03311-7501,,109.2,1184.9,8.3,142759.0,0.00675,59302.2
MANHATTAN,1-02250-0054,1.0,197.2,810.0,14.6,55479.5,0.00675,116717.6
MANHATTAN,1-00775-0022,53.0,93.6,441.0,7.0,63000.0,0.00675,4221.0
MANHATTAN,1022220035,33.0,91.5,720.7,6.8,105985.3,0.00675,1420.2
BRONX,2-03933-0070,34.0,126.5,452.9,9.5,47673.7,0.00675,35135.5
QUEENS,4084890001,,140.8,20637.6,7.5,2751680.0,0.00675,553087.7
MANHATTAN,1011137502,24.0,99.6,4327.0,7.0,618142.9,0.00675,41415.5
MANHATTAN,1-01164-0047,17.0,147.0,933.8,8.5,109858.8,0.00675,51523.8
,3-05979-0046,30.0,126.8,357.9,7.1,50408.5,0.00675,4728.2
MANHATTAN,1014370001,3.0,113.3,836.8,7.4,113081.1,0.00675,19698.7
QUEENS,4066780001,1.0,172.5,461.6,10.0,46160.0,0.00675,40205.4
QUEENS,4071170003,1.0,224.0,15169.9,12.3,1233325.2,0.00675,1834447.9
QUEENS,4071170006,4.0,150.4,3386.8,8.2,413024.4,0.00675,160501.3
MANHATTAN,1021750027,7.0,120.7,467.1,6.9,67695.7,0.00675,2721.3
QUEENS,4003420024,20.0,99.6,445.8,7.3,61068.5,0.00675,9001.5
BRONX,2028540056,10.0,127.1,412.5,7.2,57291.7,0.00675,6909.3
BRONX,2-03292-0062,66.0,93.8,474.0,7.1,66760.6,0.00675,6262.1
MANHATTAN,1013680005,17.0,112.9,1080.0,7.7,140259.7,0.00675,35710.2
MANHATTAN,1015270028,24.0,107.6,1530.5,8.1,188950.6,0.00675,68362.4
MANHATTAN,1005720038,50.0,91.2,913.1,6.9,132333.3,0.00675,5319.9
MANHATTAN,1015340012,59.0,103.2,951.4,7.7,123558.4,0.00675,31458.1
MANHATTAN,1018750036,8.0,127.4,549.2,9.3,59053.8,0.00675,40357.3
MANHATTAN,1008910039,23.0,126.2,924.6,9.6,96312.5,0.00675,73563.5
MANHATTAN,1010290036,17.0,112.6,780.4,8.3,94024.1,0.00675,39057.6
